time,temp_avg,temp_min,temp_max,precipitation,wind_speed,pressure,humidity
2021-01-03 00:00:00,25.3,21.1,27.2,0.2,8.5,1011.9,
2021-01-04 00:00:00,26.4,21.4,28.4,0.3,9.3,1012.1,
2021-01-05 00:00:00,24.1,22.1,30.3,2,7.3,1012.7,
2021-01-06 00:00:00,24.6,22.3,26.4,14,5.9,1011.9,
2021-01-07 00:00:00,25.2,21.8,26.5,32,6.7,1010.5,
2021-01-08 00:00:00,24.1,21.4,28,6.8,6.2,1010.1,
2021-01-09 00:00:00,26.2,21.8,28.2,2.4,7.3,1010.7,
2021-01-10 00:00:00,26.5,21.9,28.3,1.5,7.4,1011.1,
2021-01-11 00:00:00,27.1,22.6,28.5,7,7.6,1012,
2021-01-12 00:00:00,25.6,21.3,29.6,0,9.9,1012.1,
2021-01-13 00:00:00,26.6,20.2,28.8,0,9.5,1012.1,
2021-01-14 00:00:00,26.1,20,29.4,3.3,8,1012.1,
2021-01-15 00:00:00,26.8,20.6,29.2,0,6.6,1011.7,
2021-01-16 00:00:00,26.8,19.1,29.9,0,5.6,1011.1,
2021-01-17 00:00:00,26.7,20.5,29.9,0,5.2,1012.3,
2021-01-18 00:00:00,26.4,18.1,29.3,0,7.4,1013.1,
2021-01-19 00:00:00,26.3,18.8,29.6,0,6.6,1012.7,
2021-01-20 00:00:00,27.4,20.6,30.4,0,6.3,1012.9,
2021-01-21 00:00:00,24.4,19.8,30.8,0.1,5.5,1012.4,
2021-01-22 00:00:00,28.5,23.5,31.6,0.1,4.7,1012.2,
2021-01-23 00:00:00,27.8,21.2,31.6,0.1,4.5,1012.9,
2021-01-24 00:00:00,27.5,19.9,31,0,4.8,1013.3,
2021-01-25 00:00:00,26.3,19.2,31.3,0,4.5,1013.9,
2021-01-26 00:00:00,27.4,18.4,30.9,0,6,1013.3,
2021-01-27 00:00:00,26.1,17.7,31.2,0,6.4,1013.7,
2021-01-28 00:00:00,26.3,18,30,0,7.6,1014,
2021-01-29 00:00:00,27.2,20.6,30.2,0,7.4,1014.2,
2021-01-30 00:00:00,27.8,19.6,31.1,0,6.7,1013.5,
2021-01-31 00:00:00,27.5,20.8,31.2,0,6.6,1014,
2021-02-01 00:00:00,27.3,20.2,31,0,8.3,1015.7,
2021-02-02 00:00:00,27.3,20.3,31.2,0,8.1,1015.9,
2021-02-03 00:00:00,27.5,22,30.5,0,7.9,1015.2,
2021-02-04 00:00:00,26.5,17.7,31,0,7.1,1015.3,
2021-02-05 00:00:00,26.2,17.1,30.5,0,7.1,1014.3,
2021-02-06 00:00:00,27.2,17.2,31.2,0,6.9,1013.2,
2021-02-07 00:00:00,27.1,16.4,31.6,0,8.7,1013.6,
2021-02-08 00:00:00,26.4,16.1,32.2,0,8.7,1014.8,
2021-02-09 00:00:00,22.9,18,29,0.1,8.2,1014,
2021-02-10 00:00:00,22.2,15.8,31,0,6.6,1013,
2021-02-11 00:00:00,22.1,16.1,29.2,0,6.4,1012.8,
2021-02-12 00:00:00,22,14.8,29.3,0,7,1013.4,
2021-02-13 00:00:00,22.6,15.6,29.6,0,6.5,1014.1,
2021-02-14 00:00:00,27.6,19.2,31.8,0,6,1013.6,
2021-02-15 00:00:00,28.2,18.4,33.2,0,6.4,1012.3,
2021-02-16 00:00:00,27.8,18.4,33.5,0,5.7,1012.2,
2021-02-17 00:00:00,27.5,18.9,33,0,5.8,1012,
2021-02-18 00:00:00,27.7,19.7,31.9,0,7.1,1013.2,
2021-02-19 00:00:00,23.9,19.6,32.2,2.7,8.2,1013.9,
2021-02-20 00:00:00,23.4,20.6,28.6,6.9,7.7,1013.7,
2021-02-21 00:00:00,22.7,20.9,26.3,10.5,7.7,1014.5,
2021-02-22 00:00:00,28,20.9,30.6,4.1,6.5,1014.5,
2021-02-23 00:00:00,29.7,20.9,34,0,6,1013,
2021-02-24 00:00:00,29.5,20.7,34.2,0,5.1,1012.3,
2021-02-25 00:00:00,29.4,18.6,34.2,0,5,1012,
2021-02-26 00:00:00,30.6,18.7,35.6,0,5.4,1010.3,
2021-02-27 00:00:00,31.1,19.1,36.8,0,6.1,1009.2,
2021-02-28 00:00:00,30.8,18.6,36.9,0,6.8,1010.2,
2021-03-01 00:00:00,30.8,18.1,36.8,0,6.7,1012.8,
2021-03-02 00:00:00,29.5,18.1,37.1,0,6.6,1013.1,
2021-03-03 00:00:00,30.2,18.3,35.2,0,7.2,1012.2,
2021-03-04 00:00:00,28.7,17.1,36.1,0,7.1,1012.8,
2021-03-05 00:00:00,29.1,18.6,33.6,0,6.4,1013.6,
2021-03-06 00:00:00,30.8,19.6,35.8,0,6,1013.1,
2021-03-07 00:00:00,30.9,19.8,35.9,0,6.3,1012.3,
2021-03-08 00:00:00,30.4,20.8,36.1,0,6.3,1013,
2021-03-09 00:00:00,30.6,23,35.4,0,6.7,1013.5,
2021-03-10 00:00:00,30.6,22.6,34.9,0.1,7.2,1013.2,
2021-03-11 00:00:00,31.1,22.8,34.8,0,7.1,1013.3,
2021-03-12 00:00:00,25.9,19.3,34.6,0,6.1,1014.2,
2021-03-13 00:00:00,25.7,17.9,35,0,6.8,1013.7,
2021-03-14 00:00:00,26,17.7,35.4,0,6.7,1012.3,
2021-03-15 00:00:00,26.9,18,37.2,0,6.7,1011.2,
2021-03-16 00:00:00,31.6,20.2,37.6,0,6.4,1011.1,
2021-03-17 00:00:00,30.6,21.1,36.9,0,8.1,1010.4,
2021-03-18 00:00:00,30.7,21,35.3,0,7.1,1010.9,
2021-03-19 00:00:00,30.7,21.6,35.1,0,6.2,1010.6,
2021-03-20 00:00:00,26.5,17.5,35.6,0,6.6,1009.3,
2021-03-21 00:00:00,32.2,22.1,36.2,0,6.3,1009.1,
2021-03-22 00:00:00,31.7,22.2,36.1,0,6.1,1010.6,
2021-03-23 00:00:00,31.7,23.1,36.4,0,6.3,1011.5,
2021-03-24 00:00:00,27.5,20.4,37,0,6.3,1011.4,
2021-03-25 00:00:00,28.4,20.7,37.2,0,6.8,1010.2,
2021-03-26 00:00:00,32.3,22.6,37.6,0,6.3,1009.7,
2021-03-27 00:00:00,32.7,23.9,37.3,0,6.9,1009.3,
2021-03-28 00:00:00,28.4,20.5,36.8,0,6.9,1008.7,
2021-03-29 00:00:00,33.3,24,37.5,0,7.4,1008.3,
2021-03-30 00:00:00,30.4,22.4,41,0,6.1,1006.6,
2021-03-31 00:00:00,35.9,23.7,41.3,0,7.5,1004.4,
2021-04-01 00:00:00,32.9,25,42.6,0,7.8,1004,
2021-04-02 00:00:00,32.9,27.1,43.2,0,10.1,1004.7,
2021-04-03 00:00:00,37.4,26.2,43.4,0,8,1005.5,
2021-04-04 00:00:00,34.9,27,42.5,0,7.3,1007,
2021-04-05 00:00:00,34.2,27.6,38.6,0,6.9,1008.8,
2021-04-06 00:00:00,32.7,25.7,37.7,0,6.9,1010.3,
2021-04-07 00:00:00,28.7,22.3,36.8,0,8.4,1010.8,
2021-04-08 00:00:00,28.6,21.8,37.2,0,8.2,1009.1,
2021-04-09 00:00:00,32.7,23.8,37.4,0,9,1008.7,
2021-04-10 00:00:00,32.1,23,37.3,0,9.1,1010.5,
2021-04-11 00:00:00,32.2,23.6,35.8,0.5,7.5,1011.7,
2021-04-12 00:00:00,32.9,25.8,36.7,0.5,7.1,1012,
2021-04-13 00:00:00,31.7,24.8,36.8,0.6,8.2,1011.4,
2021-04-14 00:00:00,32.6,25,35.9,4.3,8,1010.7,
2021-04-15 00:00:00,28.7,21.5,36.9,19.1,7.1,1010.4,
2021-04-16 00:00:00,32.8,23.8,36.4,0,7.2,1009.6,
2021-04-17 00:00:00,30.1,23.8,37.2,0.2,6.4,1010,
2021-04-18 00:00:00,33.7,26.1,37.9,0,7.6,1010.7,
2021-04-19 00:00:00,31.9,25.3,39.6,0,6.7,1008.4,
2021-04-20 00:00:00,34.8,27.4,40.2,0,7,1007.6,
2021-04-21 00:00:00,34.8,27,38.9,0,8.6,1008.9,
2021-04-22 00:00:00,34,25.8,39.2,0.7,8.4,1009.4,
2021-04-23 00:00:00,29.7,25,38.8,1.3,6.1,1009.5,
